code,industry_id,date,last_updated
600069,C020206,1997-04-30 00:00:00.000000,2017-12-15 08:40:47.919811
600074,C020102,1997-06-23 00:00:00.000000,2017-12-15 08:40:47.919811
600075,C020101,1997-06-17 00:00:00.000000,2017-12-15 08:40:47.919811
600078,C020101,1997-06-27 00:00:00.000000,2017-12-15 08:40:47.919811
600091,C020101,1997-07-04 00:00:00.000000,2017-12-15 08:40:47.919811
600096,C020103,1997-07-09 00:00:00.000000,2017-12-15 08:40:47.919811
600102,C020203,1997-08-28 00:00:00.000000,2017-12-15 08:40:47.919811
600103,C020206,1997-07-03 00:00:00.000000,2017-12-15 08:40:47.919811
600111,C020204,1997-09-24 00:00:00.000000,2017-12-15 08:40:47.919811
600117,C020203,1997-10-15 00:00:00.000000,2017-12-15 08:40:47.919811
600126,C020203,1998-03-11 00:00:00.000000,2017-12-15 08:40:47.919811
600139,C020204,1998-02-25 00:00:00.000000,2017-12-15 08:40:47.919811
600141,C020103,1999-06-16 00:00:00.000000,2017-12-15 08:40:47.919811
600143,C020102,2004-06-23 00:00:00.000000,2017-12-15 08:40:47.919811
600146,C020104,1999-07-07 00:00:00.000000,2017-12-15 08:40:47.919811
