基金简称,持仓市值(万元),持仓股数(万股),与上期持仓股数变化(万股),占基金净值比例,占流通股比例
博时内需增长混合,462,8.33,新进,1.77%,0.00%
博时境源保本混合C,152,2.74,新进,0.10%,0.00%
银河消费驱动混合,139,2.5,新进,2.33%,0.00%
长城新优选混合A,554,10.0,新进,0.90%,0.00%
东吴安鑫量化混合,106,1.91,新进,0.60%,0.00%
大成景穗灵活配置混合A,187,3.38,新进,0.75%,0.00%
安信安盈保本混合A,44,0.8,新进,0.04%,0.00%
易方达沪深300量化增强,374,6.75,新进,0.29%,0.00%
鑫元鑫趋势混合C,55,1.0,新进,0.80%,0.00%
德邦量化优选股票(LOF)C,23,0.41,新进,0.27%,0.00%
万家中证红利指数(LOF),45,0.81,新进,0.86%,0.00%
东方新兴成长混合,333,6.0,新进,1.84%,0.00%
易方达科汇灵活配置混合,12437,224.37,新进,2.07%,0.03%
中银沪深300等权重指数(LOF),11,0.2,新进,0.34%,0.00%
易方达稳健收益债券B,814,14.68,新进,0.08%,0.00%
中欧价值发现混合A,1352,24.39,新进,0.22%,0.00%
长城久利保本混合,720,13.0,新进,0.26%,0.00%
长盛盛世混合A,116,2.1,新进,0.40%,0.00%
信诚优胜精选混合,2771,49.99,新进,1.30%,0.01%
中证财通可持续发展100指数C,115,2.08,新进,1.15%,0.00%
博时国企改革股票,519,9.36,新进,0.35%,0.00%
长城新优选混合C,554,10.0,新进,0.90%,0.00%
大成智惠量化多策略混合,12,0.21,新进,0.27%,0.00%
东兴量化多策略混合,5,0.09,新进,0.29%,0.00%
长信量化先锋混合C,4390,79.2,新进,0.94%,0.01%
安信新价值混合A,166,3.0,新进,0.45%,0.00%
富国天惠成长混合(LOF)C,277,5.0,新进,0.05%,0.00%
博时中证淘金大数据100A,1383,24.95,新进,0.97%,0.00%
博时中证淘金大数据100I,1383,24.95,新进,0.97%,0.00%
德邦量化优选股票(LOF)A,23,0.41,新进,0.27%,0.00%
银河蓝筹精选混合,277,5.0,新进,1.02%,0.00%
中融量化智选混合C,37,0.66,新进,0.59%,0.00%
易方达上证50指数C,175,3.15,新进,0.02%,0.00%
中融量化智选混合A,37,0.66,新进,0.59%,0.00%
银河服务混合,222,4.0,新进,0.10%,0.00%
易方达稳健收益债券A,814,14.68,新进,0.08%,0.00%
易方达上证50指数A,175,3.15,新进,0.02%,0.00%
新华优选分红混合,3325,59.99,新进,2.95%,0.01%
易方达策略成长混合,1046,18.87,新进,0.70%,0.00%
长城医疗保健混合,126,2.27,新进,0.69%,0.00%
银河量化价值混合,94,1.69,新进,0.24%,0.00%
中信建投睿信混合C,44,0.79,新进,0.82%,0.00%
中邮核心主题混合,3991,72.0,新进,3.00%,0.01%
博时主题行业混合(LOF),4157,75.0,新进,0.39%,0.01%
大成定增灵活配置混合,3,0.06,新进,0.00%,0.00%
富国低碳环保混合,5,0.08,新进,0.00%,0.00%
财通福瑞定开混合发起,1053,19.0,新进,0.35%,0.00%
财通福鑫定开混合发起,457,8.24,新进,1.04%,0.00%
大成核心双动力混合,98,1.77,新进,0.72%,0.00%
长信利发债券,1,0.02,新进,0.09%,0.00%
长城品牌优选混合,9423,170.0,新进,2.20%,0.03%
长城双动力混合,665,12.0,新进,1.95%,0.00%
大成中证红利指数,174,3.14,新进,0.90%,0.00%
长信内需成长混合,15731,283.8,新进,4.70%,0.04%
富国中证红利指数增强,2412,43.52,新进,1.52%,0.01%
长信量化先锋混合A,4390,79.2,新进,0.94%,0.01%
博时特许价值混合R,33,0.59,新进,0.12%,0.00%
长信量化优选混合(LOF),3,0.06,新进,1.66%,0.00%
长盛同智优势混合(LOF),404,7.3,新进,0.60%,0.00%
博时特许价值混合A,33,0.59,新进,0.12%,0.00%
北信瑞丰健康生活主题灵活配置混合,23,0.42,新进,0.04%,0.00%
博时策略配置混合,596,10.76,新进,1.36%,0.00%
博时行业轮动混合,778,14.04,新进,2.04%,0.00%
大成竞争优势混合,1,0.02,新进,0.00%,0.00%
财通多策略福享混合(LOF),1306,23.57,新进,0.31%,0.00%
长盛同德主题混合,1960,35.36,新进,1.30%,0.01%
东方支柱产业灵活配置混合,111,2.0,新进,2.40%,0.00%
东方精选混合,5,0.09,新进,0.00%,0.00%
长盛同益成长回报(LOF),166,3.0,新进,0.99%,0.00%
安信灵活配置混合,59,1.07,新进,0.62%,0.00%
安信安盈保本混合C,44,0.8,新进,0.04%,0.00%
博时沪深300指数A,5947,107.28,新进,1.02%,0.02%
富国沪深300增强,2559,46.17,新进,1.15%,0.01%
大成优选混合(LOF),50,0.91,新进,0.06%,0.00%
博时平衡配置混合,95,1.72,新进,0.16%,0.00%
长信量化中小盘股票,1343,24.22,新进,1.01%,0.00%
大成策略回报混合,0,0.0,新进,0.00%,0.00%
宝盈核心优势混合A,554,10.0,新进,0.45%,0.00%
富国天惠成长混合(LOF)A,277,5.0,新进,0.05%,0.00%
长城消费增值混合,2217,40.0,新进,1.83%,0.01%
博时沪深300指数R,5947,107.28,新进,1.02%,0.02%
银河银泰混合,5405,97.51,新进,3.94%,0.02%
天治研究驱动混合C,14,0.25,新进,3.54%,0.00%
中银新机遇混合C,1305,23.55,新进,1.78%,0.00%
工银研究精选股票,258,4.65,新进,2.84%,0.00%
汇添富成长多因子量化策略股票,2571,46.39,新进,1.86%,0.01%
华宝事件驱动混合,8040,145.05,新进,2.92%,0.02%
德邦福鑫灵活配置混合A,222,4.0,新进,0.80%,0.00%
东方红京东大数据混合,14880,268.44,新进,4.60%,0.04%
泰达宏利业绩股票A,506,9.13,新进,3.28%,0.00%
泰达宏利业绩股票C,506,9.13,新进,3.28%,0.00%
博时鑫惠混合A,550,9.92,新进,1.01%,0.00%
申万菱信价值优享混合,466,8.41,新进,2.37%,0.00%
中欧康裕混合C,389,7.02,新进,0.49%,0.00%
广发中证全指家用电器指数A,491,8.87,新进,14.97%,0.00%
广发中证全指家用电器指数C,491,8.87,新进,14.97%,0.00%
长信双利优选混合,3019,54.47,新进,4.45%,0.01%
德邦福鑫灵活配置混合C,222,4.0,新进,0.80%,0.00%
光大保德信新增长混合,887,16.0,新进,3.60%,0.00%
申万菱信竞争优势混合,520,9.39,新进,6.77%,0.00%
天治研究驱动混合A,14,0.25,新进,3.54%,0.00%
工银量化策略混合,720,12.98,新进,3.68%,0.00%
泰康安泰回报混合,119,2.14,新进,0.83%,0.00%
广发百发大数据精选混合E,513,9.25,新进,5.73%,0.00%
广发安宏回报混合A,1141,20.59,新进,2.05%,0.00%
广发安宏回报混合C,1141,20.59,新进,2.05%,0.00%
国泰睿吉灵活配置混合A,416,7.5,新进,1.73%,0.00%
国泰睿吉灵活配置混合C,416,7.5,新进,1.73%,0.00%
平安大华智能生活混合A,156,2.81,新进,4.36%,0.00%
广发鑫隆混合A,786,14.18,新进,2.05%,0.00%
信诚精萃成长混合,8868,159.99,新进,3.30%,0.02%
信达澳银领先增长混合,7281,131.36,新进,4.30%,0.02%
国泰信益灵活配置混合,576,10.39,新进,2.33%,0.00%
泰达睿智稳健混合,749,13.52,新进,1.76%,0.00%
中银战略新兴产业股票,893,16.11,新进,4.86%,0.00%
招商财经大数据股票,75,1.35,新进,2.48%,0.00%
西部利得新动力混合C,205,3.7,新进,0.38%,0.00%
国泰结构转型灵活配置混合C,382,6.89,新进,1.33%,0.00%
中金量化多策略混合,273,4.93,新进,2.03%,0.00%
西部利得祥运混合A,194,3.5,新进,0.44%,0.00%
广发安瑞回报混合A,610,11.01,新进,1.41%,0.00%
广发安瑞回报混合C,610,11.01,新进,1.41%,0.00%
国泰区位优势混合,1552,28.0,新进,5.59%,0.00%
德邦稳盈增长灵活配置混合,222,4.0,新进,1.82%,0.00%
泰康金泰3月定开混合,186,3.35,新进,1.02%,0.00%
易方达瑞通混合A,349,6.3,新进,0.51%,0.00%
中银策略混合,3959,71.43,新进,5.02%,0.01%
银河嘉祥混合C,446,8.05,新进,4.24%,0.00%
中欧消费主题股票C,376,6.78,新进,4.25%,0.00%
融通蓝筹成长混合,3049,55.0,新进,3.85%,0.01%
上投摩根科技前沿混合,228,4.12,新进,3.06%,0.00%
银华中证等权90指数金利,236,4.26,新进,1.13%,0.00%
信达澳银消费优选混合,307,5.54,新进,3.89%,0.00%
光大保德信量化股票,2894,52.2,新进,1.07%,0.01%
西部利得新动力混合A,205,3.7,新进,0.38%,0.00%
西部利得祥运混合C,194,3.5,新进,0.44%,0.00%
工银深证成份指数(LOF),207,3.74,新进,3.49%,0.00%
新华鑫泰灵活配置混合,554,10.0,新进,3.20%,0.00%
长城久嘉创新成长混合,6097,110.0,新进,6.76%,0.02%
易方达大健康主题混合,7078,127.69,新进,4.71%,0.02%
光大保德信欣鑫混合C,569,10.26,新进,2.69%,0.00%
西部利得个股精选股票,465,8.38,新进,1.64%,0.00%
富国兴利增强债券,15,0.27,新进,0.14%,0.00%
信达澳银健康中国混合,2225,40.14,新进,4.60%,0.01%
中融融信双盈债券C,310,5.59,新进,1.30%,0.00%
信诚中证智能家居指数分级A,71,1.29,新进,1.05%,0.00%
东吴中证新兴产业指数,133,2.4,新进,1.12%,0.00%
工银可转债债券,305,5.5,新进,1.04%,0.00%
中银广利混合A,1284,23.17,新进,1.60%,0.00%
中银广利混合C,1284,23.17,新进,1.60%,0.00%
宝盈转型动力混合,8740,157.67,新进,3.48%,0.02%
平安大华智能生活混合C,156,2.81,新进,4.36%,0.00%
博时鑫惠混合C,550,9.92,新进,1.01%,0.00%
上投摩根优信增利债券C,14,0.25,新进,0.56%,0.00%
中银新机遇混合A,1305,23.55,新进,1.78%,0.00%
长信先利半年定开混合,127,2.3,新进,0.22%,0.00%
博时富时中国A股指数,7,0.13,新进,0.80%,0.00%
